½ÃÁ¡,½Ã±º»êÁö,ÀÏÀÚ,Ç°Á¾,µµ¸Å°¡°Ý.¿ø.kg.,°Å·¡·®.Åæ.,°Å·¡±Ý¾×.¹é¸¸¿ø.,¸¶´Ã.¸éÀû..ha.,X10a´ç.»ý»ê·®..kg.,»ý»ê·®..Åæ.,X10a´ç.»ý»ê·®.Åæ,Æò±Õ,Æò±Õ±â¿Â..C.,ÀÏ°­¼ö·®.mm.,Æò±Õ.Ç³¼Ó.m.s.,ÇÕ°è.ÀÏÁ¶½Ã°£.hr.,Æò±Õ.Áö¸é¿Âµµ..C.,Æò±Õ.5cm.ÁöÁß¿Âµµ..C.
2017,Ã¶¿ø,2017-07-12,ÀúÀåÇü ÇÑÁö,2300,0.24,0.55,263,800,2100,0.8,0.2175,19.78895028,11.38028169,1.450276243,5.716574586,23.50883978,22.66850829
2017,Ã¶¿ø,2017-07-11,ÀúÀåÇü ÇÑÁö,3500,0.2,0.7,263,800,2100,0.8,0.2175,19.74254144,11.38028169,1.464640884,5.755801105,23.47016575,22.61933702
2017,Ã¶¿ø,2017-07-10,ÀúÀåÇü ÇÑÁö,3700,0.21,0.78,263,800,2100,0.8,0.2175,19.7,11.30555556,1.468508287,5.768508287,23.42209945,22.57403315
2017,È¾¼º,2017-07-01,¸¶´ÃÂÐ,667,0.07,0.05,263,800,2100,0.8,0.056666667,19.48839779,11.66056338,1.514364641,5.951933702,23.10552486,22.17127072
2017,È¾¼º,2017-06-26,¸¶´ÃÂÐ,1167,0.05,0.06,263,800,2100,0.8,0.056666667,19.15524862,11.72083333,1.515469613,5.95801105,22.71546961,21.75801105
2017,È¾¼º,2017-05-24,¸¶´ÃÂÐ,2000,0.05,0.09,263,800,2100,0.8,0.056666667,16.2441989,10.1943662,1.614917127,6.281767956,19.35635359,18.12375691
2018,°­¸ª,2018-12-31,±ñ¸¶´Ã,6448,0.13,0.81,265,754,1999,0.754,0.052313589,2.440331492,8.78,1.699447514,4.96519337,3.935911602,4.044751381
2018,°­¸ª,2018-08-22,±ñ¸¶´Ã,6550,0.02,0.13,265,754,1999,0.754,0.052313589,18.3640884,16.00806452,1.453038674,4.812707182,22.63535912,21.85856354
2018,°­¸ª,2018-08-21,±ñ¸¶´Ã,7429,0.06,0.42,265,754,1999,0.754,0.052313589,18.44530387,15.87301587,1.457458564,4.832044199,22.74198895,21.94198895
2018,°­¸ª,2018-12-28,±ñ¸¶´Ã,6307,0.04,0.27,265,754,1999,0.754,0.052313589,2.622099448,9.06969697,1.696685083,4.989502762,4.120994475,4.233149171
2018,°­¸ª,2018-08-20,±ñ¸¶´Ã,7064,0.15,1.05,265,754,1999,0.754,0.052313589,18.51436464,15.6796875,1.458563536,4.823756906,22.83038674,22.0121547
2018,°­¸ª,2018-03-02,Ç²¸¶´Ã,6375,0.02,0.15,265,754,1999,0.754,0.052313589,3.664088398,7.530357143,2.133701657,5.78839779,5.808839779,5.117679558
2018,°­¸ª,2018-12-27,±ñ¸¶´Ã,6841,0.03,0.22,265,754,1999,0.754,0.052313589,2.654696133,9.06969697,1.691712707,4.966298343,4.152486188,4.276243094
2018,°­¸ª,2018-12-26,±ñ¸¶´Ã,6371,0.1,0.64,265,754,1999,0.754,0.052313589,2.665745856,8.805882353,1.670165746,4.971823204,4.201104972,4.329834254
2018,°­¸ª,2018-12-24,±ñ¸¶´Ã,6478,0.09,0.56,265,754,1999,0.754,0.052313589,2.744198895,8.562857143,1.660220994,4.915469613,4.304972376,4.459668508
2018,°­¸ª,2018-12-21,±ñ¸¶´Ã,6346,0.03,0.16,265,754,1999,0.754,0.052313589,2.966850829,8.548571429,1.640883978,4.882872928,4.549723757,4.716574586
2018,°­¸ª,2018-12-20,±ñ¸¶´Ã,6744,0.009,0.06,265,754,1999,0.754,0.052313589,3.012154696,9.162857143,1.61878453,4.877348066,4.613812155,4.782872928
2018,°­¸ª,2018-08-13,±ñ¸¶´Ã,6906,0.16,1.12,265,754,1999,0.754,0.052313589,18.90497238,16.07462687,1.486187845,4.843646409,23.27016575,22.3961326
2018,°­¸ª,2018-12-19,±ñ¸¶´Ã,8243,0.007,0.06,265,754,1999,0.754,0.052313589,3.060773481,9.434285714,1.617679558,4.873480663,4.679558011,4.860220994
2018,°­¸ª,2018-12-18,±ñ¸¶´Ã,6450,0.02,0.15,265,754,1999,0.754,0.052313589,3.127624309,9.2,1.615469613,4.843646409,4.761325967,4.950276243
2018,°­¸ª,2018-12-17,±ñ¸¶´Ã,6321,0.09,0.57,265,754,1999,0.754,0.052313589,3.206629834,9.2,1.61160221,4.828729282,4.859116022,5.051933702
2018,°­¸ª,2018-12-14,±ñ¸¶´Ã,6454,0.01,0.08,265,754,1999,0.754,0.052313589,3.500552486,8.589189189,1.603314917,4.762430939,5.185635359,5.367955801
2018,°­¸ª,2018-12-13,±ñ¸¶´Ã,6293,0.04,0.26,265,754,1999,0.754,0.052313589,3.593922652,8.455263158,1.596685083,4.716574586,5.282320442,5.466850829
2018,°­¸ª,2018-02-27,Ç²¸¶´Ã,6400,0.02,0.1,265,754,1999,0.754,0.052313589,3.371270718,7.577358491,2.144751381,5.774585635,5.477348066,4.811049724
2018,°­¸ª,2018-08-03,±ñ¸¶´Ã,7006,0.09,0.6,265,754,1999,0.754,0.052313589,19.25248619,15.76865672,1.519337017,4.906629834,23.64309392,22.72541436
2018,°­¸ª,2018-12-11,±ñ¸¶´Ã,6310,0.03,0.2,265,754,1999,0.754,0.052313589,3.764640884,8.602702703,1.570165746,4.689502762,5.477900552,5.662983425
2018,°­¸ª,2018-12-10,±ñ¸¶´Ã,6382,0.07,0.43,265,754,1999,0.754,0.052313589,3.826519337,8.602702703,1.570165746,4.705524862,5.563535912,5.752486188
2018,°­¸ª,2018-12-07,±ñ¸¶´Ã,5732,0.03,0.18,265,754,1999,0.754,0.052313589,4.043093923,8.827777778,1.570718232,4.717679558,5.85801105,6.050276243
2018,°­¸ª,2018-05-07,±ñ¸¶´Ã,6953,0.17,1.16,265,754,1999,0.754,0.052313589,13.90331492,13.01694915,1.869060773,6.16519337,17.35856354,15.53480663
2018,°­¸ª,2018-12-06,±ñ¸¶´Ã,6668,0.04,0.25,265,754,1999,0.754,0.052313589,4.12320442,8.966666667,1.572375691,4.71160221,5.943646409,6.143093923
2018,°­¸ª,2018-12-05,±ñ¸¶´Ã,6235,0.02,0.14,265,754,1999,0.754,0.052313589,4.197237569,9.222857143,1.572928177,4.691160221,6.033149171,6.237016575
2018,°­¸ª,2018-12-04,±ñ¸¶´Ã,6610,0.04,0.28,265,754,1999,0.754,0.052313589,4.282872928,9.222857143,1.582872928,4.708839779,6.136464088,6.339779006
2018,°­¸ª,2018-12-03,±ñ¸¶´Ã,6740,0.1,0.64,265,754,1999,0.754,0.052313589,4.369060773,9.938888889,1.58839779,4.696132597,6.229834254,6.43480663
2018,°­¸ª,2018-11-30,±ñ¸¶´Ã,6452,0.05,0.31,265,754,1999,0.754,0.052313589,4.647513812,10.89210526,1.591160221,4.64198895,6.562430939,6.784530387
2018,°­¸ª,2018-11-29,±ñ¸¶´Ã,6684,0.06,0.43,265,754,1999,0.754,0.052313589,4.744198895,11.89487179,1.593922652,4.631491713,6.683425414,6.906077348
2018,°­¸ª,2018-07-24,±ñ¸¶´Ã,6871,0.07,0.45,265,754,1999,0.754,0.052313589,19.61657459,16.27538462,1.519889503,5.149723757,23.93867403,22.95745856
2018,°­¸ª,2018-11-28,±ñ¸¶´Ã,6078,0.02,0.11,265,754,1999,0.754,0.052313589,4.849723757,11.8975,1.595027624,4.613812155,6.80441989,7.030939227
2018,°­¸ª,2018-11-27,±ñ¸¶´Ã,6676,0.08,0.55,265,754,1999,0.754,0.052313589,4.961878453,11.63170732,1.598895028,4.570718232,6.913812155,7.15359116
2018,°­¸ª,2018-11-26,±ñ¸¶´Ã,6728,0.1,0.67,265,754,1999,0.754,0.052313589,5.054696133,12.2952381,1.59558011,4.532044199,7.015469613,7.273480663
2018,°­¸ª,2018-07-19,±ñ¸¶´Ã,6910,0.11,0.73,265,754,1999,0.754,0.052313589,19.72099448,16.67761194,1.538674033,5.183977901,23.98729282,22.97348066
2018,°­¸ª,2018-11-23,±ñ¸¶´Ã,6475,0.03,0.18,265,754,1999,0.754,0.052313589,5.368508287,13.08888889,1.597790055,4.441436464,7.354696133,7.670165746
