시군산지,평균,시점
강릉,0.230037037,2020
강원고성,0.054529412,2020
동해,0.018,2020
원주,0.295848,2020
정선,0.192666667,2020
춘천,1.996896552,2020
평창,2.995,2020
홍천,1.758177778,2020
횡성,0.074961538,2020
