시군산지,평균,시점
강릉,0.032238095,2021
강원고성,0.018630435,2021
동해,0.0275,2021
삼척,0.11,2021
양구,0.035,2021
원주,0.078351485,2021
정선,0.12,2021
춘천,2.441428571,2021
평창,0.747611111,2021
횡성,0.0628,2021
