시군산지,평균,시점
강릉,0.052313589,2018
강원고성,0.141666667,2018
동해,0.03,2018
삼척,0.02,2018
원주,0.24274,2018
정선,8.836666667,2018
춘천,0.844,2018
태백,0.03,2018
횡성,1.27,2018
