시군산지,평균,시점
강릉,0.054578431,2019
강원고성,0.095152542,2019
동해,0.015,2019
삼척,3.3925,2019
양구,0.24,2019
원주,0.323701493,2019
정선,0.04,2019
춘천,0.449261364,2019
평창,0.1272,2019
홍천,1.957051282,2019
화천,0.77,2019
횡성,0.04,2019
